Protein IDs,Protein.Names,Description,Gene Name,Intensity Rat47,Intensity Rat48,Intensity Rat49,Intensity Rat50,Intensity Rat51,Intensity Rat52,Intensity Rat53,Intensity Rat54,Intensity Rat55,Intensity Rat56
A0A096MJ11,A0A096MJ11_RAT,Gasdermin D,Gsdmd,6526390,7797930,7675150,8027540,7541830,6592470,8641820,6048200,7189100,6814850
A0A096MJ37,A0A096MJ37_RAT,Upregulator of cell proliferation,Urgcp,,3763850,3780240,4534220,,,3672780,,2219650,2656200
A0A096MJ94,A0A096MJ94_RAT,BMS1 ribosome biogenesis factor,Bms1,1532210,,,,,2365280,,882964,,
A0A096MJ99,A0A096MJ99_RAT,Vesicle-associated membrane protein 4,Vamp4,4281730,4690980,3501250,3851200,2694820,4142040,3309380,3760480,3368290,3822270
A0A096MJA9,A0A096MJA9_RAT,Aspartate-beta-hydroxylase,Asph,7512130,8803700,7782900,7884460,6727300,4532450,8176640,5573050,6700980,7158990
A0A096MJD8,A0A096MJD8_RAT,SH2 domain containing 5,Sh2d5,2137110,2762150,2493480,2873950,2948500,2069600,2566340,2652960,2644130,2645300
A0A096MJE3,A0A096MJE3_RAT,G1 to S phase transition 2,Gspt2,1005450,974238,911639,778982,761051,666036,856463,647385,779338,732890
A0A096MJN4,SEPT4_RAT,Septin-4,Septin4,133447000,158420000,176486000,176373000,177722000,97600800,176843000,123182000,157472000,166187000
A0A096MJT6,A0A096MJT6_RAT,Bridge-like lipid transfer protein family member 1,Bltp1,41095500,,,27929700,35878300,29271700,34590400,27229300,,17899900
A0A096MJV7,A0A096MJV7_RAT,DNA helicase,Chd9,5039660,4927980,6011200,6499100,6432040,4898690,4490810,5997420,4660990,4616550
A0A096MJY1,A0A096MJY1_RAT,Glypican 6,Gpc6,,2995900,2655870,3253510,2649480,2150110,3138450,,,2224380
A0A096MJY7,A0A096MJY7_RAT,LSM14A mRNA processing body assembly factor,Lsm14a,1880390,2165730,1580430,1588470,1458170,1955510,1236390,1036180,841130,1742620
A0A096MJZ0,DNAL1_RAT,Dynein axonemal light chain 1,Dnal1,31527200,26876900,30997300,29625500,28267400,26135700,34151900,23971900,31570700,29876300
A0A096MK16,A0A096MK16_RAT,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2",Arap2,480653,1785840,,,,,1263000,,,
A0A096MK60,A0A096MK60_RAT,Schlafen family member 5,Slfn5,7308400,7614630,8666360,10714200,10581900,7153310,10271300,5607170,7478850,7313450
A0A096MKB0,A0A096MKB0_RAT,"RAB24, member RAS oncogene family",Rab24,26832900,28795100,25465200,26054000,20881300,17883900,25934200,19515100,21690500,22476900
A0A096MKD1,A0A096MKD1_RAT,EEF1A lysine methyltransferase 1,Eef1akmt1,14726400,14093600,15209700,18364800,16376100,15219100,19230300,13063900,17746400,16496700
A0A096MKE2,A0A096MKE2_RAT,Sorting nexin 12,Snx12,38793100,35504900,37883000,40886500,38690300,29481600,38127800,33473700,36999500,34689500
A0A096MKE5,A0A096MKE5_RAT,DBIRD complex subunit ZNF326,Zfp326,4874830,5574580,5119120,5150150,4731020,4380670,4767910,3970000,4547120,4593220
A0A096MKF9,A0A096MKF9_RAT,Complement C2,Cfb,1324870,,1709670,2478860,1210190,4360410,1532160,4632040,1172140,1094260
A0A096MKH4,A0A096MKH4_RAT,"Ubiquitin-conjugating enzyme E2, J1",Ube2j1,4293260,4804580,4227420,3682470,3100120,3073660,4660330,3029230,3718640,4606490
A0A096UWG9,A0A096UWG9_RAT,Diacylglycerol kinase,Dgke,12204900,12677700,12741000,13151500,13219600,13785500,13385700,11690300,13170700,12381800
A0A0G2JST1,A0A0G2JST1_RAT,Adhesion G protein-coupled receptor G6,Adgrg6,3647380,3102590,,,3860050,2244520,,2660890,2460260,2811790
A0A0G2JT23,A0A0G2JT23_RAT,Nuclear receptor binding protein 2,Nrbp2,18004900,18243400,18926900,19694400,18076400,13551900,20055400,16260600,19387200,16499400
A0A0G2JT63,A0A0G2JT63_RAT,Cytoplasmic FMR1-interacting protein,Cyfip2,86800800,83318600,91539700,95922400,101164000,70415400,98030300,89345600,94463800,85996300
A0A0G2JT78,A0A0G2JT78_RAT,"RAB6B, member RAS oncogene family",Rab6b,167618000,156810000,162488000,177594000,172996000,129682000,159961000,145150000,151953000,158752000
A0A0G2JTB2,A0A0G2JTB2_RAT,"1,4-alpha-glucan branching enzyme",Gbe1,118062000,117192000,127208000,132462000,120045000,88679900,136384000,112609000,125585000,113296000
A0A0G2JTI7,A0A0G2JTI7_RAT,U4/U6 small nuclear ribonucleoprotein Prp3,Prpf3,11756000,8773720,7762640,7826130,7468840,16193800,7558510,14235700,9122210,6997550
A0A0G2JTJ9,A0A0G2JTJ9_RAT,Transcription factor CP2,Tfcp2,,5338300,4972890,4668750,6391000,,5560550,,4498350,4593720
