Protein IDs,Protein.Names,Description,Gene Name,Intensity Rat57,Intensity Rat58,Intensity Rat59,Intensity Rat60,Intensity Rat61,Intensity Rat62,Intensity Rat63,Intensity Rat64,Intensity Rat65,Intensity Rat66
A0A096MJ11,A0A096MJ11_RAT,Gasdermin D,Gsdmd,17268600,18385100,11401700,8558700,11856400,14162000,16559700,15024500,10218500,14372000
A0A096MJ37,A0A096MJ37_RAT,Up-regulator of cell proliferation,Urgcp,5237800,5214730,3382800,4401750,4783980,4867400,5650870,4999840,2251550,4077130
A0A096MJ38,A0A096MJ38_RAT,Interferon-induced protein with tetratricopeptide repeats 1B-like,Ifit1bl,,,4052740,5165560,4428960,,,,8286230,7549780
A0A096MJ94,A0A096MJ94_RAT,BMS1 ribosome biogenesis factor,Bms1,,,,,3221580,,2108590,3479660,,3990110
A0A096MJ99,A0A096MJ99_RAT,Vesicle-associated membrane protein 4,Vamp4,13631100,12655800,16636700,10808300,9955240,9329670,10259700,10064400,9856910,10788300
A0A096MJA9,A0A096MJA9_RAT,Aspartyl/asparaginyl beta-hydroxylase,Asph,32150900,39062100,27774800,26091500,28733200,26062900,31700100,27355400,32021300,35999700
A0A096MJD8,A0A096MJD8_RAT,SH2 domain-containing protein 5,Sh2d5,16451300,17543600,11839800,12000000,12022500,17310400,23445900,20182600,17027500,17995500
A0A096MJE3,A0A096MJE3_RAT,G1 to S phase transition 2,Gspt2,11228500,6710230,4138930,9378170,13291800,6701370,19372300,17610100,9503190,11063700
A0A096MJF9,A0A096MJF9_RAT,Transmembrane protein 132E,Tmem132e,3326760,3716530,4211680,3432390,2984320,2442600,2407280,1947040,3093280,2609010
A0A096MJM8,A0A096MJM8_RAT,"LAS1-like, ribosome biogenesis factor",Las1l,4380230,4321210,4398990,4152370,4832120,2968270,3938970,3528270,3911270,4215840
A0A096MJN4,SEPT4_RAT,Septin-4,Septin4,276702000,278883000,240088000,228810000,241026000,247867000,270287000,286297000,211814000,253602000
A0A096MJT6,A0A096MJT6_RAT,Bridge-like lipid transfer protein family member 1,Bltp1,21265000,19741900,22283100,21115300,21573600,18884700,22217000,21205600,24602900,25457400
A0A096MJY1,A0A096MJY1_RAT,Glypican 6,Gpc6,6200810,5301820,4864280,4763140,4471290,5922690,6828060,4481570,4948800,5435220
A0A096MJZ0,DNAL1_RAT,Dynein axonemal light chain 1,Dnal1,184231000,174885000,95321600,74693700,82916000,157787000,187064000,181955000,44840800,58872600
A0A096MK16,A0A096MK16_RAT,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 2",Arap2,43485900,51036600,,38955400,35929800,42519300,45210900,43021900,19796600,38442400
A0A096MK60,A0A096MK60_RAT,Schlafen family member 5,Slfn5,2157220,3435000,,1509890,2443130,2116170,3158880,1945090,,1853990
A0A096MKB0,A0A096MKB0_RAT,Ras-related protein Rab-24,Rab24,31002700,29838800,23697600,21982500,19639200,19538800,21801100,17852300,18517900,18280300
A0A096MKD1,A0A096MKD1_RAT,EEF1A lysine methyltransferase 1,Eef1akmt1,7645870,11402100,5509570,4744790,5005740,13670600,17286000,16740700,3359800,6718800
A0A096MKE2,A0A096MKE2_RAT,Sorting nexin 12,Snx12,55788900,66870200,55182300,38046900,49724300,51221600,51535200,51353400,38947000,53447300
A0A096MKE5,A0A096MKE5_RAT,DBIRD complex subunit ZNF326,Zfp326,5038790,4494200,5273240,3659950,6386320,3779990,4215800,4029750,3636260,4676140
A0A096MKF9,A0A096MKF9_RAT,Complement C2,Cfb,1688700,2307000,5500030,5628870,2994640,2761070,3092710,1483320,4251040,6276140
A0A096MKH3,A0A096MKH3_RAT,Multiple C2 and transmembrane domain-containing protein 2,Mctp2,984524,766173,1065160,1055920,1176470,624042,709754,580752,789104,1161080
A0A096MKH4,A0A096MKH4_RAT,Ubiquitin-conjugating enzyme E2 J1,Ube2j1,8687260,8707350,6232370,5856740,4893120,7153590,8871970,8159280,4152760,5655680
A0A096UWG9,A0A096UWG9_RAT,Diacylglycerol kinase,Dgke,23496500,24977100,23503600,26209500,23139900,24379700,34468800,30152500,39733700,38571800
A0A0B4J2J0,A0A0B4J2J0_RAT,High affinity immunoglobulin gamma Fc receptor I,Fcgr1a,6934010,7566970,4044110,1572210,4634750,11054900,16050500,,7985700,11627200
A0A0G2JT23,A0A0G2JT23_RAT,Nuclear receptor-binding protein 2,Nrbp2,43806800,48827700,33008100,28223600,35043000,43014100,46958000,48749000,29558300,37761400
A0A0G2JT63,A0A0G2JT63_RAT,Cytoplasmic FMR1-interacting protein,Cyfip2,137549000,139428000,98059000,91579500,102909000,116043000,134764000,124468000,102990000,118788000
A0A0G2JT78,A0A0G2JT78_RAT,Ras-related protein Rab-6B,Rab6b,82423900,86495500,70310300,54808500,53576900,74053400,77742300,78965300,87030400,74362800
A0A0G2JTB2,A0A0G2JTB2_RAT,"1,4-alpha-glucan branching enzyme",Gbe1,40161900,46506600,26017500,24389300,24008000,39367900,46590100,39955200,11748800,17479200
A0A0G2JTJ9,A0A0G2JTJ9_RAT,Transcription factor CP2,Tfcp2,14318700,,9612470,12683400,11942500,16123000,17112300,18109000,9945180,14336000
A0A0G2JTK1,A0A0G2JTK1_RAT,non-specific serine/threonine protein kinase,Ttbk1,24233700,27945400,18069500,15649700,21156500,22446600,18929600,24180800,46528200,53438000
A0A0G2JTM9,A0A0G2JTM9_RAT,DnaJ homolog subfamily B member 14,Dnajb14,45738000,22391900,37716200,31437100,27874900,42636000,33224200,18217800,11919400,12423000
A0A0G2JTR4,ABR_RAT,Active breakpoint cluster region-related protein,Abr,45831600,47598000,33539500,33180600,35824100,47172800,50535500,47412100,36467900,39426300
A0A0G2JTT4,A0A0G2JTT4_RAT,Ras-related protein Rab-30,Rab30,41366000,34958700,31154000,41773100,35015100,29564600,35348900,32968700,40582000,38791500
A0A0G2JTT6,A0A0G2JTT6_RAT,HECT-type E3 ubiquitin transferase,Herc1,34558300,35864200,32682600,38082100,35809600,32482400,39383000,39486400,39682600,41518800
A0A0G2JTW1,A0A0G2JTW1_RAT,Ras-related protein Rap-2,Rap2a,93710800,84822700,90164000,78911900,86419800,60954700,82379600,77921100,78028800,81581500
A0A0G2JTX2,A0A0G2JTX2_RAT,PRA1 family protein,Praf2,139384000,136614000,144990000,148779000,130264000,108629000,116279000,115110000,167488000,152292000
A0A0G2JU15,A0A0G2JU15_RAT,Small ribosomal subunit protein mS39,Ptcd3,17767700,24574900,31679000,83258500,29300300,296621000,170792000,16997400,28702500,26854300
A0A0G2JU45,A0A0G2JU45_RAT,tRNA (guanine(37)-N1)-methyltransferase,Trmt5,7093370,18844300,,11408400,,12186500,,,,
A0A0G2JU49,A0A0G2JU49_RAT,Metaxin-1,Mtx1,38459400,40428300,38458600,44980900,39217700,41505500,53630300,47378200,59566900,54784900
A0A0G2JU98,A0A0G2JU98_RAT,SH3 and cysteine-rich domain-containing protein 2,Stac2,8342150,15369900,7060800,,5105110,5729590,6577210,8399940,,2986310
A0A0G2JUA5,A0A0G2JUA5_RAT,AHNAK nucleoprotein,Ahnak,363937000,411080000,209662000,197698000,300251000,380934000,347351000,234218000,238617000,320565000
A0A0G2JUC8,A0A0G2JUC8_RAT,E3 ubiquitin-protein ligase RBX1,Rbx1,20822300,18115700,19597400,9836850,11923900,13625500,10744200,11944900,4172520,8562990
A0A0G2JUC9,A0A0G2JUC9_RAT,E3 ubiquitin-protein ligase HERC2,Herc2,12164600,14187800,17530400,18596100,16771500,12271100,14768700,13890700,19517900,20193100
A0A0G2JUD6,A0A0G2JUD6_RAT,Kinesin-like protein,Kif3a,28590900,27055600,23000800,23974400,24735500,21460300,23198500,16616000,22178700,21938000
A0A0G2JUF2,A0A0G2JUF2_RAT,Sorting nexin-30,Snx30,27123600,24190400,24529700,32016000,18210100,15249600,16973200,20434200,28243700,26940000
A0A0G2JUF9,A0A0G2JUF9_RAT,NCK associated protein 1 like,Nckap1l,25025100,46656300,14455700,9734400,18869200,25362700,67866100,50408200,34463600,41451600
A0A0G2JUG7,IQEC1_RAT,IQ motif and SEC7 domain-containing protein 1,Iqsec1,95418700,98885900,72188500,78727700,79379100,83463400,98759500,101068000,83155300,86907200
A0A0G2JUH4,A0A0G2JUH4_RAT,Bifunctional polynucleotide phosphatase/kinase,Pnkp,,4244460,2494750,2842340,2891290,,2789350,2054750,7045090,4579810
A0A0G2JUH8,A0A0G2JUH8_RAT,Sorting nexin-13,Snx13,19211300,19480300,16654500,17076000,16519500,13864700,18115200,18174500,17984200,20824000
A0A0G2JUJ9,A0A0G2JUJ9_RAT,Translocation protein SEC63 homolog,Sec63,58462700,60189300,54635200,58852200,51549000,41892500,56552000,50143400,88182700,82456000
A0A0G2JUQ6,A0A0G2JUQ6_RAT,Zinc finger protein 185,Zfp185,,,,,,,,,1326520,1146160
A0A0G2JUS5,A0A0G2JUS5_RAT,Dolichyldiphosphatase,Dolpp1,887743,605023,720747,1065710,1030630,782941,818325,1031940,971206,866858
A0A0G2JUT7,A0A0G2JUT7_RAT,"Beta-1,3-glucosyltransferase",B3glct,6922930,8428000,6609580,5849010,6091600,5403440,8292840,6836990,4127800,4695880
A0A0G2JUU7,A0A0G2JUU7_RAT,Tubulin gamma complex component 3,Tubgcp3,22218100,23546300,19285400,22203600,22743100,19002900,22939800,20022000,21699100,23798100
A0A0G2JUV4,A0A0G2JUV4_RAT,Mitochondrial ribosomal protein L1,Mrpl1,12310100,13463100,11067400,13602700,12870700,10639000,11205800,11048700,14766800,14761500
A0A0G2JUW3,A0A0G2JUW3_RAT,Cysteine-rich secretory protein LCCL domain containing 2,Crispld2,,,29604500,12805600,16804100,,11199700,,17318100,17380000
A0A0G2JUZ5,A0A0G2JUZ5_RAT,Glycine cleavage system P protein,Gldc,1640390,2457570,,920919,1932460,1241380,2328950,1946030,,916900
A0A0G2JV04,GGA3_RAT,ADP-ribosylation factor-binding protein GGA3,Gga3,39146400,42906900,33890400,26123200,29809300,30713900,36248700,31619700,26203600,30438100
A0A0G2JV05,A0A0G2JV05_RAT,Maestro heat-like repeat family member 1,Mroh1,2159840,2268040,1819670,2205830,2442510,1770920,3021490,2608900,3831050,3231910
A0A0G2JV12,A0A0G2JV12_RAT,Collagen alpha-1(XV) chain,Col15a1,17072600,56520600,26480700,15527200,38948100,15802900,18843700,24297000,18645000,23641000
A0A0G2JV19,A0A0G2JV19_RAT,"Transforming growth factor, beta receptor associated protein 1",Tgfbrap1,14754100,19329200,17299700,16606000,17010200,24724400,29921400,26427700,27117900,26976800
A0A0G2JV24,A0A0G2JV24_RAT,Thrombospondin-1,Thbs1,8985630,,60790400,43553400,34155700,7075510,14810800,,179896000,63825500
A0A0G2JV35,A0A0G2JV35_RAT,N-alpha-acetyltransferase 80,Naa80,557924,904872,,,,5513470,6292780,6506230,,
A0A0G2JV49,A0A0G2JV49_RAT,"Protein phosphatase 6, regulatory subunit 2",Ppp6r2,14934700,16830100,12021500,12666600,14166500,14538300,15545100,13858800,12995900,15622200
A0A0G2JV50,A0A0G2JV50_RAT,Family with sequence similarity 124 member A,Fam124a,,363013,,,,580966,,534017,,502243
A0A0G2JV76,A0A0G2JV76_RAT,DNA ligase,Lig3,4270660,4593280,2500410,3019820,3699370,3977360,4656000,4480920,4468500,4799830
A0A0G2JVA2,A0A0G2JVA2_RAT,Heterogeneous nuclear ribonucleoprotein H3,Hnrnph3,42459400,48898400,33500000,28893800,35742400,40321100,43557400,35836700,26433600,29321900
A0A0G2JVD2,A0A0G2JVD2_RAT,Mitochondrial adenyl nucleotide antiporter SLC25A23,Slc25a23,16187400,18057000,12096900,15981400,14224600,15360400,20788500,18108800,23636100,20474200
A0A0G2JVF0,A0A0G2JVF0_RAT,Rho GTPase activating protein 4,Arhgap4,62115,,44383.9,,25965,55971.1,,,,40903
A0A0G2JVF5,A0A0G2JVF5_RAT,High mobility group protein B3,Hmgb3,38781800,33324500,20913300,,,23744700,43356900,35368900,8145730,
A0A0G2JVH5,A0A0G2JVH5_RAT,Helicase-like transcription factor,Hltf,,,,,,2389470,,,,
A0A0G2JVI4,A0A0G2JVI4_RAT,L-fucose kinase,Fcsk,3937400,4509480,1951720,2922680,3681930,3254300,4317030,3205690,1651940,2139960
A0A0G2JVL5,A0A0G2JVL5_RAT,RAB7A interacting MON1-CCZ1 complex subunit 1,Rimoc1,36248200,45126500,47735700,39361400,37262200,29196100,37524100,37412200,27275800,25900200
A0A0G2JVL6,A0A0G2JVL6_RAT,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8,Ndufa8,398776000,447923000,492448000,534572000,425694000,329624000,385835000,405343000,459926000,596463000
A0A0G2JVM2,A0A0G2JVM2_RAT,Transport and Golgi organization protein 1 homolog,Mia3,43202300,41843500,40191400,41433300,34959600,38722400,46883600,41371000,51137700,53244500
A0A0G2JVP5,A0A0G2JVP5_RAT,Polyadenylate-binding protein-interacting protein 1,Paip1,84920100,59974200,32670600,31947700,19037700,85349100,57913100,29764600,31381600,66773500
A0A0G2JVP9,A0A0G2JVP9_RAT,Proteasome activator complex subunit 1,Psme1-ps1,10182700,12854400,11319300,9408650,12890500,9717740,10328300,7428700,12330600,13527200
A0A0G2JVT8,A0A0G2JVT8_RAT,Sterile alpha motif domain-containing protein 9-like,Samd9l,16334000,12411800,27608400,5143370,11909000,6026640,16860500,12915800,2758050,13178000
A0A0G2JVU1,A0A0G2JVU1_RAT,Integrin beta,Itgb8,83018900,101842000,85165100,79759100,82842100,72015600,106800000,82680900,96905000,103977000
A0A0G2JVW6,A0A0G2JVW6_RAT,Sterile alpha motif domain containing 9,Samd9,50115700,52016400,38836700,30888500,40738000,44340800,57973900,43837800,43308900,63853300
A0A0G2JVY2,A0A0G2JVY2_RAT,Scavenger receptor cysteine-rich type 1 protein M130,Cd163,10099900,8952430,7128060,6025630,9796270,9542260,8858390,6066340,6286760,7625500
A0A0G2JVY4,A0A0G2JVY4_RAT,Transmembrane protein 63a,Tmem63a,2053720,2094080,1478680,1247290,1490780,1142200,,,1634090,
A0A0G2JW34,A0A0G2JW34_RAT,CDGSH iron sulfur domain 3,Cisd3,54502700,61676900,48737100,53374300,55196500,48350100,58600900,51391700,33307900,45152000
A0A0G2JW73,A0A0G2JW73_RAT,"Nicolin 1, tubulin polyglutamylase complex subunit",Nicn1,36258000,41905000,32512700,60878700,40761500,34670900,35358000,37599100,49680100,30770200
A0A0G2JW94,A0A0G2JW94_RAT,Clathrin interactor 1,Clint1,29373200,32489300,26608700,26447600,27086700,28570700,30283300,27331200,23802300,27069600
A0A0G2JWA3,A0A0G2JWA3_RAT,Exportin 7,Xpo7,166144000,202568000,151551000,150078000,151718000,164010000,182419000,167049000,174029000,160693000
A0A0G2JWB6,A0A0G2JWB6_RAT,Peroxidasin,Pxdn,2938260,,4803140,,6936290,5317480,9580850,,19488000,12528700
A0A0G2JWG1,A0A0G2JWG1_RAT,Alpha-mannosidase,Man2a2,15659500,16412600,12475300,14055500,15236000,13586600,16655800,13913800,14312200,16495900
A0A0G2JWJ3,A0A0G2JWJ3_RAT,RING-type E3 ubiquitin transferase,Mid2,,,,,,8650720,10617400,10350700,,10433300
A0A0G2JWK6,A0A0G2JWK6_RAT,APC membrane recruitment protein 2,Amer2,14228000,20832400,12667300,14529700,9952910,42160200,50008600,39204600,21189600,23098600
A0A0G2JWN4,A0A0G2JWN4_RAT,Actin maturation protease,Actmap,,,,,17796800,,,,14979300,16296600
A0A0G2JWT6,A0A0G2JWT6_RAT,Peroxisomal membrane protein PEX16,Pex16,15484900,15138500,21610500,15916400,19696700,13222800,18911000,19325300,17279000,22283200
A0A0G2JWU2,A0A0G2JWU2_RAT,Claudin,,4967070,4998290,1977230,2065220,2346260,4770350,6380360,5485110,3361370,4378920
